()

------ PROCESSES AND THREADS (ps -A -T -Z -O pri,nice,rtprio,sched,pcy,time) ------
LABEL                          USER           PID   TID  PPID     VSZ    RSS WCHAN            ADDR S PRI  NI RTPRIO SCH PCY     TIME CMD            
u:r:kernel:s0                  root          1365  1365     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/289-sec-nfc
u:r:kernel:s0                  root          1369  1369     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 scsi_eh_0
u:r:kernel:s0                  root          1370  1370     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 scsi_tmf_0
u:r:kernel:s0                  root          1378  1378     2       0      0 0                   0 S  19   0      -   0  fg 00:00:02 spi32766
u:r:kernel:s0                  root          1421  1421     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 uether
u:r:kernel:s0                  root          1440  1440     2       0      0 0                   0 S  90   0     50   1  fg 00:00:02 irq/292-sec_ts
u:r:kernel:s0                  root          1468  1468     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 m2m1shot2-sched
u:r:kernel:s0                  root          1469  1469     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 m2m1shot2-destr
u:r:kernel:s0                  root          1472  1472     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 scaler_fence_wo
u:r:kernel:s0                  root          1475  1475     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/164-13ce000
u:r:kernel:s0                  root          1480  1480     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 s5p_mfc/watchdo
u:r:kernel:s0                  root          1481  1481     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 s5p_mfc/butler
u:r:kernel:s0                  root          1485  1485     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1490  1490     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1493  1493     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 srpmb_wq
u:r:kernel:s0                  root          1496  1496     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1501  1501     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1506  1506     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1511  1511     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1516  1516     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1608  1608     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 dm_bufio_cache
u:r:kernel:s0                  root          1614  1614     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 dw-mci-card
u:r:kernel:s0                  root          1691  1691     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ovr_work
u:r:kernel:s0                  root          1724  1724     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bioset
u:r:kernel:s0                  root          1727  1727     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 simpleinteracti
u:r:kernel:s0                  root          1729  1729     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 simpleinteracti
u:r:kernel:s0                  root          1731  1731     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 simpleinteracti
u:r:kernel:s0                  root          1733  1733     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 simpleinteracti
u:r:kernel:s0                  root          1735  1735     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 simpleinteracti
u:r:kernel:s0                  root          1740  1740     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/296-jig-irq
u:r:kernel:s0                  root          1743  1743     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 max77865-charge
u:r:kernel:s0                  root          1748  1748     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 mfc_workqueue
u:r:kernel:s0                  root          1749  1749     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/297-wpd-det
u:r:kernel:s0                  root          1756  1756     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:04 tee_fastcall
u:r:kernel:s0                  root          1759  1759     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 tee_irq_bh
u:r:kernel:s0                  root          1760  1760     2       0      0 0                   0 D  19   0      -   0  fg 00:00:00 tee_scheduler
u:r:kernel:s0                  root          1769  1769     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/299-sx9320_
u:r:kernel:s0                  root          1772  1772     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 bcm4773_wq
u:r:kernel:s0                  root          1778  1778     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ssp_bbd_on_pack
u:r:kernel:s0                  root          1779  1779     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ssp_bbd_mcu_rea
u:r:kernel:s0                  root          1804  1804     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ssp_debug_wq
u:r:kernel:s0                  root          1822  1822     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 ssp_sensorhub_t
u:r:kernel:s0                  root          1824  1824     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ssp_batch_wq
u:r:kernel:s0                  root          1825  1825     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ssp_motor_wq
u:r:kernel:s0                  root          1826  1826     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 BBD_LHD_KILLER
u:r:kernel:s0                  root          1832  1832     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/302-hrm_sen
u:r:kernel:s0                  root          1837  1837     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 vfsspi_debug_wq
u:r:kernel:s0                  root          1841  1841     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 max77865_haptic
u:r:kernel:s0                  root          1847  1847     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ccic_irq_event
u:r:kernel:s0                  root          1851  1851     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/305-s2mm005
u:r:kernel:s0                  root          1860  1860     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 maxdsm_wq
u:r:kernel:s0                  root          1864  1864     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 maxdsm_power_wq
u:r:kernel:s0                  root          1868  1868     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/306-(null)
u:r:kernel:s0                  root          1869  1869     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/307-(null)
u:r:kernel:s0                  root          1870  1870     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/308-(null)
u:r:kernel:s0                  root          1871  1871     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/309-(null)
u:r:kernel:s0                  root          1872  1872     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/310-(null)
u:r:kernel:s0                  root          1873  1873     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/311-(null)
u:r:kernel:s0                  root          1940  1940     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 ipv6_addrconf
u:r:kernel:s0                  root          1954  1954     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 hmp_down_compen
u:r:kernel:s0                  root          1982  1982     2       0      0 0                   0 D  19   0      -   0  fg 00:00:05 copr-thread
u:r:kernel:s0                  root          1986  1986     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 11090000.displa
u:r:kernel:s0                  root          1987  1987     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 11090000.displa
u:r:kernel:s0                  root          1994  1994     2       0      0 0                   0 S  19   0      -   0  fg 00:00:03 decon0-vsync
u:r:kernel:s0                  root          1995  1995     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 decon0-fsync
u:r:kernel:s0                  root          1996  1996     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 decon_hiber
u:r:kernel:s0                  root          1998  1998     2       0      0 0                   0 S  19   0      -   0  fg 00:00:13 decon0
u:r:kernel:s0                  root          1999  1999     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 decon_hiber
u:r:kernel:s0                  root          2001  2001     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 decon1
u:r:kernel:s0                  root          2002  2002     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 decon2-vsync
u:r:kernel:s0                  root          2003  2003     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 decon_hiber
u:r:kernel:s0                  root          2005  2005     2       0      0 0                   0 S  19   0      -   0  fg 00:00:00 decon2
u:r:kernel:s0                  root          2010  2010     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 deferwq
u:r:kernel:s0                  root          2025  2025     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 usb_notify
u:r:kernel:s0                  root          2033  2033     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/324-flip_co
u:r:kernel:s0                  root          2037  2037     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/325-certify
u:r:kernel:s0                  root          2067  2067     2       0      0 0                   0 S  90   0     50   1  fg 00:00:00 irq/298-wpc-irq
u:r:kernel:s0                  root          2068  2068     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 kworker/6:2H
u:r:kernel:s0                  root          2072  2072     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 kworker/4:1H
u:r:kernel:s0                  root          2075  2075     2       0      0 0                   0 S  39 -20      -   0  fg 00:00:00 battery
